antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,antecedents_str,consequents_str
frozenset({'instrumentalness_low'}),frozenset({'mode_1'}),0.5000539057727093,0.6337522011523856,0.3347788066459828,0.6694854350325796,1.056383605161794,1.0,0.017868543167680717,1.1081139461545857,0.10675986326425838,0.4189829390423076,0.09756573006753173,0.5988670913939951,instrumentalness_low,mode_1
frozenset({'key_very_low'}),frozenset({'mode_1'}),0.31480971262233615,0.6337522011523856,0.23384324201296133,0.7428082191780822,1.1720799041445444,1.0,0.03433189369440584,1.4240260620972487,0.21427018148306906,0.32718222043443285,0.2977656613059175,0.5558951784861208,key_very_low,mode_1
frozenset({'speechiness_very_low'}),frozenset({'mode_1'}),0.2504342409468249,0.6337522011523856,0.17972184621282,0.7176408686501484,1.1323682463669926,1.0,0.021008594768842814,1.297099183924823,0.15595036427167153,0.2551183512447287,0.229048932885646,0.5006123254506767,speechiness_very_low,mode_1
frozenset({'energy_very_low'}),frozenset({'loudness_very_low'}),0.25050611531043737,0.25000299476515053,0.17769738497107057,0.7093534812547819,2.837379935872925,1.0,0.1150701059364771,2.580443792937014,0.8639992839365561,0.5504675671663946,0.6124697609236363,0.7100672533250431,energy_very_low,loudness_very_low
frozenset({'loudness_very_low'}),frozenset({'energy_very_low'}),0.25000299476515053,0.25050611531043737,0.17769738497107057,0.7107810253953042,2.8373799358729244,1.0,0.1150701059364771,2.5914409167447263,0.8634196872343993,0.5504675671663946,0.614114296977234,0.7100672533250431,loudness_very_low,energy_very_low
frozenset({'acousticness_very_high'}),frozenset({'energy_very_low'}),0.24975143449250709,0.25050611531043737,0.17666718575929274,0.7073720562137272,2.8237716086775886,1.0,0.11410292411136562,2.5612519262240108,0.8608663050559204,0.5459593529041572,0.6095659354078945,0.7063065330800846,acousticness_very_high,energy_very_low
frozenset({'energy_very_low'}),frozenset({'acousticness_very_high'}),0.25050611531043737,0.24975143449250709,0.17666718575929274,0.7052410099464421,2.8237716086775886,1.0,0.11410292411136562,2.5452949386587744,0.8617331290560885,0.5459593529041572,0.6071182224064992,0.7063065330800846,energy_very_low,acousticness_very_high
frozenset({'acousticness_very_high'}),frozenset({'mode_1'}),0.24975143449250709,0.6337522011523856,0.17489428479018676,0.7002733944074057,1.1049640429399077,1.0,0.01661376343959456,1.2219395676386482,0.12661560392739288,0.2468134023058458,0.18162892299783534,0.4881198745971439,acousticness_very_high,mode_1
frozenset({'energy_very_low'}),frozenset({'mode_1'}),0.25050611531043737,0.6337522011523856,0.17381616933600066,0.6938599846977811,1.0948442994534746,1.0,0.015057367355877649,1.196340826226384,0.11558215244532831,0.24465914647512094,0.16411780148446617,0.4840625885118241,energy_very_low,mode_1
frozenset({'key_high'}),frozenset({'mode_1'}),0.2474514548569101,0.6337522011523856,0.16980318403430802,0.6862080650626906,1.082770306461929,1.0,0.012980279840381054,1.1671676613383477,0.10157894674783663,0.2386886018825669,0.14322506258155132,0.4770705763362787,key_high,mode_1
frozenset({'danceability_very_low'}),frozenset({'mode_1'}),0.2516321470070317,0.6337522011523856,0.1667485235807808,0.6626678091973722,1.0456260475189005,1.0,0.007276096534373777,1.0857184959911077,0.05830708521253606,0.23203480522078315,0.07895094014481052,0.46289046825051483,danceability_very_low,mode_1
frozenset({'duration_ms_very_low'}),frozenset({'mode_1'}),0.25000299476515053,0.6337522011523856,0.16632925645970842,0.665309056061332,1.0497936809553716,1.0,0.007889308232605918,1.0942865514602305,0.06324275037614896,0.23184170980130236,0.08616257901955683,0.4638803100928529,duration_ms_very_low,mode_1
frozenset({'acousticness_high'}),frozenset({'instrumentalness_low'}),0.2495238323410678,0.5000539057727093,0.1658620730962278,0.6647143542966875,1.3292853962804996,1.0,0.041086706150702174,1.4911049746212008,0.33007857181234534,0.28414874404859636,0.32935640547102374,0.49820137032580636,acousticness_high,instrumentalness_low
frozenset({'loudness_very_low'}),frozenset({'mode_1'}),0.25000299476515053,0.6337522011523856,0.16527509912672647,0.6610924772400574,1.0431403252532416,1.0,0.006835150899623971,1.0806717887671016,0.05514182700030831,0.2300343459268398,0.07464966662925199,0.4609403412568305,loudness_very_low,mode_1
frozenset({'danceability_low'}),frozenset({'mode_1'}),0.2485655074929024,0.6337522011523856,0.16430479521795902,0.6610120481927712,1.0430134159547177,1.0,0.006775857713772315,1.0804153861370487,0.05488111332605775,0.22883264652396607,0.07443006381514829,0.46013460362573066,danceability_low,mode_1
frozenset({'valence_very_high'}),frozenset({'mode_1'}),0.24983528791672158,0.6337522011523856,0.16291522418811916,0.652090525508247,1.028936111499914,1.0,0.004581560545356855,1.0527100458607834,0.03748824665998488,0.22606007213975832,0.05007081111084419,0.45457753758637,valence_very_high,mode_1
frozenset({'liveness_low'}),frozenset({'mode_1'}),0.25168006324944,0.6337522011523856,0.16204075276416824,0.6438362684435983,1.015911687995523,1.0,0.002537958693664022,1.028313009994438,0.02093018088180441,0.22400145724316095,0.027533455007625583,0.44976049316707845,liveness_low,mode_1
frozenset({'tempo_very_low'}),frozenset({'mode_1'}),0.2500149738257526,0.6337522011523856,0.1610944069766049,0.6443390350246754,1.0167050052891953,1.0,0.002646866993478103,1.0297666455272207,0.021907814919851717,0.22291473279405918,0.02890620477611293,0.4492652551552826,tempo_very_low,mode_1
frozenset({'tempo_very_high'}),frozenset({'mode_1'}),0.24999101570454846,0.6337522011523856,0.16077097234034907,0.6431070008146054,1.014760973839948,1.0,0.002338615869270866,1.026211776873102,0.019394776898195108,0.222375026924925,0.025542268627017806,0.44839406368109536,tempo_very_high,mode_1
frozenset({'liveness_very_high'}),frozenset({'mode_1'}),0.2496795601288947,0.6337522011523856,0.16014806118904157,0.6414143837259512,1.01209018692106,1.0,0.0019130903745951389,1.0213677911935812,0.01592087834689068,0.2214180426969642,0.020920760746342585,0.4470563082035861,liveness_very_high,mode_1
frozenset({'valence_low'}),frozenset({'mode_1'}),0.2501227853711712,0.6337522011523856,0.15966889876495885,0.6383620689655172,1.0072739278928724,1.0,0.0011530329776133774,1.0127471910923305,0.009630109849280215,0.22047439460103213,0.012586745442938732,0.4451521147209213,valence_low,mode_1
frozenset({'loudness_low'}),frozenset({'mode_1'}),0.2501227853711712,0.6337522011523856,0.15924963164388647,0.6366858237547891,1.0046289742222103,1.0,0.0007337658565410021,1.0080746163904803,0.0061445333447241336,0.21976822998462578,0.008009939204096308,0.4439832105259155,loudness_low,mode_1
frozenset({'acousticness_high'}),frozenset({'mode_1'}),0.2495238323410678,0.6337522011523856,0.15872255297739551,0.6361017762842055,1.0037074035049465,1.0,0.0005862749912649567,1.0064566820574945,0.004921821095489484,0.2190625774985534,0.0064152607584611705,0.44327534707793115,acousticness_high,mode_1
frozenset({'duration_ms_high'}),frozenset({'mode_1'}),0.24999101570454846,0.6337522011523856,0.15855484612896656,0.6342421773923044,1.0007731353658855,1.0,0.0001224896578883583,1.0013396193044497,0.001030038446929754,0.21863953219465457,0.0013378271254064799,0.44221323499612386,duration_ms_high,mode_1
frozenset({'danceability_high'}),frozenset({'mode_1'}),0.2504222618862229,0.6337522011523856,0.15833922303812936,0.6322889260942358,0.9976910927402082,1.0,-0.0003664366498235816,0.996020584741691,-0.003077903055894674,0.21814761024557697,-0.003995314272888321,0.44106649310098806,danceability_high,mode_1
frozenset({'speechiness_low'}),frozenset({'mode_1'}),0.2496795601288947,0.6337522011523856,0.15781214437163837,0.6320587247517152,0.9973278571694251,1.0,-0.00042282644280805526,0.9953974274847863,-0.0035581716154027415,0.21748605012051375,-0.004623854139189029,0.4405355527170352,speechiness_low,mode_1
frozenset({'duration_ms_low'}),frozenset({'mode_1'}),0.25000299476515053,0.6337522011523856,0.1577282909474239,0.6309056061332056,0.9955083469311761,1.0,-0.0007116572796785903,0.9922876232571352,-0.005979941255376138,0.21724854804646251,-0.007772319801338775,0.439892837089852,duration_ms_low,mode_1
frozenset({'liveness_high'}),frozenset({'mode_1'}),0.2482420728566466,0.6337522011523856,0.15746475161417842,0.6343193553056989,1.0008949146879207,1.0,0.00014079152264775963,1.0015509548059003,0.0011893649530124568,0.217333796273333,0.0015485530700740072,0.4413917918197524,liveness_high,mode_1
frozenset({'energy_low'}),frozenset({'mode_1'}),0.24951185328046574,0.6337522011523856,0.15718923322033085,0.6299870373037592,0.9940589336939895,1.0,-0.0009394530097754095,0.9898242379910418,-0.00790066392477922,0.21649178380518708,-0.010280372634247676,0.43900826205987503,energy_low,mode_1
frozenset({'valence_very_high'}),frozenset({'instrumentalness_low'}),0.24983528791672158,0.5000539057727093,0.15659028019022747,0.6267740698120444,1.2534130072307317,1.0,0.03165916866762149,1.3395266882328332,0.2695119798605988,0.2639315134873203,0.2534676548182499,0.46996043467604903,valence_very_high,instrumentalness_low
frozenset({'tempo_low'}),frozenset({'mode_1'}),0.24999101570454846,0.6337522011523856,0.15649444770541093,0.6260002875077866,0.9877682260818924,1.0,-0.0019379087656672678,0.9792729422358568,-0.016242614370560106,0.21518695437324983,-0.02116576173014598,0.4364667348133395,tempo_low,mode_1
frozenset({'valence_high'}),frozenset({'mode_1'}),0.24932018831083266,0.6337522011523856,0.15605122246313444,0.625906885119877,0.9876208461000324,1.0,-0.0019559956705830495,0.9790284404592087,-0.016423068786744294,0.2146446754873045,-0.02142078684757589,0.4360703502246205,valence_high,mode_1
frozenset({'loudness_high'}),frozenset({'mode_1'}),0.24993112040153811,0.6337522011523856,0.15545226943303106,0.621980444785276,0.9814253010155951,1.0,-0.0029421282579256414,0.9688593983969349,-0.024611662236273844,0.2134655875773128,-0.03214150748249955,0.43363458492926027,loudness_high,mode_1
frozenset({'tempo_high'}),frozenset({'mode_1'}),0.25000299476515053,0.6337522011523856,0.15539237413002072,0.6215620507906084,0.9807651155457746,1.0,-0.0030475740970817844,0.9677882453722094,-0.025483223450549652,0.21334473627945988,-0.033283887029855325,0.43337813341912046,tempo_high,mode_1
frozenset({'valence_very_low'}),frozenset({'mode_1'}),0.2507217384012746,0.6337522011523856,0.15511685573617318,0.6186813186813186,0.9762195974330932,1.0,-0.003778597852387211,0.9604769364591614,-0.03148719085499552,0.21267614886837696,-0.04114941446334154,0.4317203966055681,valence_very_low,mode_1
frozenset({'liveness_very_low'}),frozenset({'mode_1'}),0.25039830376501876,0.6337522011523856,0.15409863558499742,0.6154140553987466,0.9710641703172095,1.0,-0.004591840590906893,0.9523171712043393,-0.038232063868735344,0.21107902336571277,-0.05007032345679437,0.42928343824658055,liveness_very_low,mode_1
frozenset({'loudness_very_high'}),frozenset({'mode_1'}),0.2499430994621402,0.6337522011523856,0.15377520094874159,0.6152408339324227,0.9707908435090202,1.0,-0.004626788498239415,0.9518884308614192,-0.0385671963700532,0.21067401900448032,-0.05054328593429993,0.42894165314426635,loudness_very_high,mode_1
frozenset({'instrumentalness_medium'}),frozenset({'mode_1'}),0.2501467434923753,0.6337522011523856,0.1528887504641886,0.6111962455703477,0.9644088722042728,1.0,-0.00564229883520545,0.9419862711585028,-0.046907194859073874,0.2091472207656004,-0.061586596978901835,0.42621999217370043,instrumentalness_medium,mode_1
frozenset({'energy_very_high'}),frozenset({'mode_1'}),0.2486014446747086,0.6337522011523856,0.15165490722217564,0.6100322844889896,0.9625722536028044,1.0,-0.005896805550083956,0.939174665696842,-0.049201513806526036,0.20754778845208044,-0.06476466681309725,0.42466456866921837,energy_very_high,mode_1
frozenset({'loudness_very_high'}),frozenset({'energy_very_high'}),0.2499430994621402,0.2486014446747086,0.15158303285856323,0.6064701653486699,2.439527920452061,1.0,0.0894468172458008,1.9093814220998906,0.7867198149020946,0.436887170280348,0.47627017398115007,0.6081066675054437,loudness_very_high,energy_very_high
frozenset({'energy_very_high'}),frozenset({'loudness_very_high'}),0.2486014446747086,0.2499430994621402,0.15158303285856323,0.6097431696622175,2.4395279204520612,1.0,0.0894468172458008,1.9219571375308315,0.7853150924701041,0.436887170280348,0.47969703357447624,0.6081066675054437,energy_very_high,loudness_very_high
frozenset({'duration_ms_very_high'}),frozenset({'mode_1'}),0.25000299476515053,0.6337522011523856,0.15113980761628673,0.6045519885002395,0.9539248737928645,1.0,-0.00730014061081577,0.9261591617532667,-0.06050448153267738,0.20630171032407862,-0.07972802224074396,0.42151803186471193,duration_ms_very_high,mode_1
frozenset({'energy_high'}),frozenset({'mode_1'}),0.2513805867343883,0.6337522011523856,0.15109189137387846,0.6010483678818204,0.9483964975409978,1.0,-0.008221108796018312,0.918025568420591,-0.0677574530326993,0.205835794833298,-0.08929427937441999,0.4197284179452576,energy_high,mode_1
frozenset({'acousticness_very_high'}),frozenset({'loudness_very_low'}),0.24975143449250709,0.25000299476515053,0.15069658237401024,0.60338625353734,2.413516102493704,1.0,0.08825797580399114,1.8910010354506446,0.7806302667875302,0.43172380658224374,0.4711795597924197,0.6030826811529537,acousticness_very_high,loudness_very_low
frozenset({'loudness_very_low'}),frozenset({'acousticness_very_high'}),0.25000299476515053,0.24975143449250709,0.15069658237401024,0.6027791087685673,2.413516102493704,1.0,0.08825797580399114,1.888743976132856,0.7808921019167055,0.43172380658224374,0.4705476164919565,0.6030826811529537,loudness_very_low,acousticness_very_high
frozenset({'acousticness_very_low'}),frozenset({'mode_1'}),0.2504581990680291,0.6337522011523856,0.15031325243474405,0.6001530514635546,0.9469837743715352,1.0,-0.008415182521281761,0.9159699734815695,-0.06950029528641696,0.20481514731086262,-0.09173884401366934,0.41866645106964706,acousticness_very_low,mode_1
"frozenset({'acousticness_very_high', 'loudness_very_low'})",frozenset({'energy_very_low'}),0.15069658237401024,0.25050611531043737,0.13460870398543345,0.8932432432432431,3.565754241713021,1.0,0.09685828854436082,7.020575628737667,0.8472289286506925,0.5049202426421028,0.857561537275284,0.7152951105275129,acousticness_very_high|loudness_very_low,energy_very_low
"frozenset({'energy_very_low', 'loudness_very_low'})",frozenset({'acousticness_very_high'}),0.17769738497107057,0.24975143449250709,0.13460870398543345,0.7575165161116354,3.033081742456867,1.0,0.09022852718334132,3.094019244019502,0.815152855261116,0.45966620305980527,0.6767958047019514,0.6482436050748595,energy_very_low|loudness_very_low,acousticness_very_high
"frozenset({'acousticness_very_high', 'energy_very_low'})",frozenset({'loudness_very_low'}),0.17666718575929274,0.25000299476515053,0.13460870398543345,0.7619338215351235,3.0476987775721405,1.0,0.09044137846887912,3.150371926289821,0.8160534505131197,0.46089167794594144,0.6825771612376906,0.6501810938054151,acousticness_very_high|energy_very_low,loudness_very_low
"frozenset({'mode_1', 'acousticness_very_high'})",frozenset({'energy_very_low'}),0.17489428479018676,0.25050611531043737,0.12518118329160627,0.7157534246575342,2.857229348555198,1.0,0.08136909541881927,2.6367736666187023,0.7877906829332709,0.41696592450722203,0.6207486396500759,0.6077332540273134,acousticness_very_high|mode_1,energy_very_low
"frozenset({'mode_1', 'energy_very_low'})",frozenset({'acousticness_very_high'}),0.17381616933600066,0.24975143449250709,0.12518118329160627,0.7201929703652653,2.883638974201256,1.0,0.08177034566194757,2.681307065397468,0.7906423806937463,0.41952707856598015,0.6270475646355099,0.610708025304461,energy_very_low|mode_1,acousticness_very_high
"frozenset({'acousticness_very_high', 'energy_very_low'})",frozenset({'mode_1'}),0.17666718575929274,0.6337522011523856,0.12518118329160627,0.7085706536479522,1.1180563197406181,1.0,0.013217965445257093,1.2567293013970722,0.1282478623583419,0.18268272643043196,0.2042836918910645,0.4530472585884596,acousticness_very_high|energy_very_low,mode_1
"frozenset({'mode_1', 'energy_very_low'})",frozenset({'loudness_very_low'}),0.17381616933600066,0.25000299476515053,0.1215515279291798,0.6993108201240524,2.7972097725508274,1.0,0.0780969650565731,2.494260038037513,0.7776730403625506,0.402132128561804,0.5990794926150517,0.5927555538090314,energy_very_low|mode_1,loudness_very_low
"frozenset({'mode_1', 'loudness_very_low'})",frozenset({'energy_very_low'}),0.16527509912672647,0.25050611531043737,0.1215515279291798,0.7354497354497355,2.935855416297268,1.0,0.08014910488939608,2.8330868841265473,0.7899414173204933,0.41311782428141025,0.6470281213036978,0.6103367652000016,loudness_very_low|mode_1,energy_very_low
"frozenset({'energy_very_low', 'loudness_very_low'})",frozenset({'mode_1'}),0.17769738497107057,0.6337522011523856,0.1215515279291798,0.6840366725091007,1.07934405792245,1.0,0.008935419064740976,1.1591465432271202,0.08939697668685795,0.17618766495346577,0.1372963100800425,0.4379166445429919,energy_very_low|loudness_very_low,mode_1
"frozenset({'key_very_low', 'instrumentalness_low'})",frozenset({'mode_1'}),0.1595011919165299,0.6337522011523856,0.1202937265659627,0.7541870071348105,1.1900345367849323,1.0,0.019209495102432778,1.4899448339920525,0.18999224266007067,0.17875324860265585,0.3288342110488272,0.47199946708692136,instrumentalness_low|key_very_low,mode_1
"frozenset({'mode_1', 'acousticness_high'})",frozenset({'instrumentalness_low'}),0.15872255297739551,0.5000539057727093,0.1097641322967453,0.6915471698113208,1.3829452421588553,1.0,0.030394299746182907,1.6208186318844149,0.32914892956777553,0.19993017826362072,0.3830278228987481,0.4555258846373584,acousticness_high|mode_1,instrumentalness_low
"frozenset({'acousticness_high', 'instrumentalness_low'})",frozenset({'mode_1'}),0.1658620730962278,0.6337522011523856,0.1097641322967453,0.6617795753286148,1.044224499931149,1.0,0.004648678384313043,1.0828671840367432,0.05077280813430255,0.1591130096547892,0.07652571364091816,0.41748840783253344,acousticness_high|instrumentalness_low,mode_1
"frozenset({'valence_very_high', 'mode_1'})",frozenset({'instrumentalness_low'}),0.16291522418811916,0.5000539057727093,0.10603864444950227,0.6508823529411765,1.3016243757468493,1.0,0.024572250284396732,1.4320275656047081,0.27682883149374216,0.19039834810289943,0.3016894199395345,0.43146838996234754,mode_1|valence_very_high,instrumentalness_low
"frozenset({'valence_very_high', 'instrumentalness_low'})",frozenset({'mode_1'}),0.15659028019022747,0.6337522011523856,0.10603864444950227,0.6771725826193391,1.0685131844717854,1.0,0.00679920969987681,1.134500290648345,0.07602486661200947,0.15495842450765865,0.11855465508208968,0.4222456807813641,instrumentalness_low|valence_very_high,mode_1
"frozenset({'speechiness_very_low', 'instrumentalness_low'})",frozenset({'mode_1'}),0.13502797110650583,0.6337522011523856,0.10486469651049965,0.7766146202980838,1.2254231525916972,1.0,0.01929042260461085,1.6395334347141821,0.21267202881123518,0.15794886599426233,0.390070382935296,0.4710405111697394,instrumentalness_low|speechiness_very_low,mode_1
"frozenset({'mode_1', 'loudness_very_low'})",frozenset({'acousticness_very_high'}),0.16527509912672647,0.24975143449250709,0.10444542938942727,0.6319489744147279,2.5303116904967657,1.0,0.06316773629663602,2.0384362856059237,0.7245402301588123,0.33629035368534727,0.5094278849619522,0.5250732449415478,loudness_very_low|mode_1,acousticness_very_high
"frozenset({'acousticness_very_high', 'loudness_very_low'})",frozenset({'mode_1'}),0.15069658237401024,0.6337522011523856,0.10444542938942727,0.6930842607313195,1.0936202816669467,1.0,0.00894113860375649,1.1933170964783701,0.10079535433243057,0.15359546207236727,0.1619997710992941,0.42894454979671537,acousticness_very_high|loudness_very_low,mode_1
"frozenset({'mode_1', 'energy_low'})",frozenset({'instrumentalness_low'}),0.15718923322033085,0.5000539057727093,0.09868350123983277,0.6278006401463192,1.2554659265708745,1.0,0.020080411222589037,1.3432212629915048,0.24143374874913537,0.17667495925195162,0.2555210168629348,0.41257318323912356,energy_low|mode_1,instrumentalness_low
